State,Year,Ranking
Alabama,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Alabama,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Alabama,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Alabama,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Alabama,2016,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Alabama,2020,Options to vote early-in person and by mail available to all voters. 
Alabama,2024,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Alaska,2000,Options to vote early-in person and by mail available to all voters. 
Alaska,2004,Options to vote early-in person and by mail available to all voters. 
Alaska,2008,Options to vote early-in person and by mail available to all voters. 
Alaska,2012,Options to vote early-in person and by mail available to all voters. 
Alaska,2016,Options to vote early-in person and by mail available to all voters. 
Alaska,2020,Options to vote early-in person and by mail available to all voters. 
Alaska,2024,Options to vote early-in person and by mail available to all voters. 
Arizona,2000,Options to vote early-in person and by mail available to all voters. 
Arizona,2004,Options to vote early-in person and by mail available to all voters. 
Arizona,2008,Options to vote early-in person and by mail available to all voters. 
Arizona,2012,Options to vote early-in person and by mail available to all voters. 
Arizona,2016,Options to vote early-in person and by mail available to all voters. 
Arizona,2020,Options to vote early-in person and by mail available to all voters. 
Arizona,2024,Options to vote early-in person and by mail available to all voters. 
Arkansas,2000,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Arkansas,2004,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Arkansas,2008,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Arkansas,2012,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Arkansas,2016,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Arkansas,2020,Options to vote early-in person and by mail available to all voters. 
Arkansas,2024,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
California,2000,Options to vote early-in person and by mail available to all voters. 
California,2004,Options to vote early-in person and by mail available to all voters. 
California,2008,Options to vote early-in person and by mail available to all voters. 
California,2012,Options to vote early-in person and by mail available to all voters. 
California,2016,Options to vote early-in person and by mail available to all voters. 
California,2020,Options to vote early-in person and by mail available to all voters. 
California,2024,Options to vote early-in person and by mail available to all voters. 
Colorado,2000,Options to vote early-in person and by mail available to all voters. 
Colorado,2004,Options to vote early-in person and by mail available to all voters. 
Colorado,2008,Options to vote early-in person and by mail available to all voters. 
Colorado,2012,Options to vote early-in person and by mail available to all voters. 
Colorado,2016,Options to vote early-in person and by mail available to all voters. 
Colorado,2020,Options to vote early-in person and by mail available to all voters. 
Colorado,2024,Options to vote early-in person and by mail available to all voters. 
Connecticut,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Connecticut,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Connecticut,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Connecticut,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Connecticut,2016,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Connecticut,2020,Options to vote early-in person and by mail available to all voters. 
Connecticut,2024,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
District of Columbia,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
District of Columbia,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
District of Columbia,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
District of Columbia,2012,Options to vote early-in person and by mail available to all voters. 
District of Columbia,2016,Options to vote early-in person and by mail available to all voters. 
District of Columbia,2020,Options to vote early-in person and by mail available to all voters. 
District of Columbia,2024,Options to vote early-in person and by mail available to all voters. 
Delaware,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Delaware,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Delaware,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Delaware,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Delaware,2016,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Delaware,2020,Options to vote early-in person and by mail available to all voters. 
Delaware,2024,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Florida,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Florida,2004,Options to vote early-in person and by mail available to all voters. 
Florida,2008,Options to vote early-in person and by mail available to all voters. 
Florida,2012,Options to vote early-in person and by mail available to all voters. 
Florida,2016,Options to vote early-in person and by mail available to all voters. 
Florida,2020,Options to vote early-in person and by mail available to all voters. 
Florida,2024,Options to vote early-in person and by mail available to all voters. 
