State,Year,Ranking
Alabama,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Alabama,2002,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Alabama,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Alabama,2006,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Alabama,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Alabama,2010,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Alabama,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Alabama,2014,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Alabama,2016,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Alabama,2018,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Alabama,2020,Options to vote early-in person and by mail available to all voters. 
Alabama,2022,Options to vote early-in person and by mail available to all voters. 
Alabama,2024,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Alabama,2026,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Alaska,2000,Options to vote early-in person and by mail available to all voters. 
Alaska,2002,Options to vote early-in person and by mail available to all voters. 
Alaska,2004,Options to vote early-in person and by mail available to all voters. 
Alaska,2006,Options to vote early-in person and by mail available to all voters. 
Alaska,2008,Options to vote early-in person and by mail available to all voters. 
Alaska,2010,Options to vote early-in person and by mail available to all voters. 
Alaska,2012,Options to vote early-in person and by mail available to all voters. 
Alaska,2014,Options to vote early-in person and by mail available to all voters. 
Alaska,2016,Options to vote early-in person and by mail available to all voters. 
Alaska,2018,Options to vote early-in person and by mail available to all voters. 
Alaska,2020,Options to vote early-in person and by mail available to all voters. 
Alaska,2022,Options to vote early-in person and by mail available to all voters. 
Alaska,2024,Options to vote early-in person and by mail available to all voters. 
Alaska,2026,Options to vote early-in person and by mail available to all voters. 
Arizona,2000,Options to vote early-in person and by mail available to all voters. 
Arizona,2002,Options to vote early-in person and by mail available to all voters. 
Arizona,2004,Options to vote early-in person and by mail available to all voters. 
Arizona,2006,Options to vote early-in person and by mail available to all voters. 
Arizona,2008,Options to vote early-in person and by mail available to all voters. 
Arizona,2010,Options to vote early-in person and by mail available to all voters. 
Arizona,2012,Options to vote early-in person and by mail available to all voters. 
Arizona,2014,Options to vote early-in person and by mail available to all voters. 
Arizona,2016,Options to vote early-in person and by mail available to all voters. 
Arizona,2018,Options to vote early-in person and by mail available to all voters. 
Arizona,2020,Options to vote early-in person and by mail available to all voters. 
Arizona,2022,Options to vote early-in person and by mail available to all voters. 
Arizona,2024,Options to vote early-in person and by mail available to all voters. 
Arizona,2026,Options to vote early-in person and by mail available to all voters. 
Arkansas,2000,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Arkansas,2002,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Arkansas,2004,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Arkansas,2006,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Arkansas,2008,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Arkansas,2010,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Arkansas,2012,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Arkansas,2014,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Arkansas,2016,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Arkansas,2018,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Arkansas,2020,Options to vote early-in person and by mail available to all voters. 
Arkansas,2022,Options to vote early-in person and by mail available to all voters. 
Arkansas,2024,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Arkansas,2026,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
California,2000,Options to vote early-in person and by mail available to all voters. 
California,2002,Options to vote early-in person and by mail available to all voters. 
California,2004,Options to vote early-in person and by mail available to all voters. 
California,2006,Options to vote early-in person and by mail available to all voters. 
California,2008,Options to vote early-in person and by mail available to all voters. 
California,2010,Options to vote early-in person and by mail available to all voters. 
California,2012,Options to vote early-in person and by mail available to all voters. 
California,2014,Options to vote early-in person and by mail available to all voters. 
California,2016,Options to vote early-in person and by mail available to all voters. 
California,2018,Options to vote early-in person and by mail available to all voters. 
California,2020,Options to vote early-in person and by mail available to all voters. 
California,2022,Options to vote early-in person and by mail available to all voters. 
California,2024,Options to vote early-in person and by mail available to all voters. 
California,2026,Options to vote early-in person and by mail available to all voters. 
Colorado,2000,Options to vote early-in person and by mail available to all voters. 
Colorado,2002,Options to vote early-in person and by mail available to all voters. 
Colorado,2004,Options to vote early-in person and by mail available to all voters. 
Colorado,2006,Options to vote early-in person and by mail available to all voters. 
Colorado,2008,Options to vote early-in person and by mail available to all voters. 
Colorado,2010,Options to vote early-in person and by mail available to all voters. 
Colorado,2012,Options to vote early-in person and by mail available to all voters. 
Colorado,2014,Options to vote early-in person and by mail available to all voters. 
Colorado,2016,Options to vote early-in person and by mail available to all voters. 
Colorado,2018,Options to vote early-in person and by mail available to all voters. 
Colorado,2020,Options to vote early-in person and by mail available to all voters. 
Colorado,2022,Options to vote early-in person and by mail available to all voters. 
Colorado,2024,Options to vote early-in person and by mail available to all voters. 
Colorado,2026,Options to vote early-in person and by mail available to all voters. 
Connecticut,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Connecticut,2002,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Connecticut,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Connecticut,2006,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Connecticut,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Connecticut,2010,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Connecticut,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Connecticut,2014,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Connecticut,2016,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Connecticut,2018,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Connecticut,2020,Options to vote early-in person and by mail available to all voters. 
Connecticut,2022,Options to vote early-in person and by mail available to all voters. 
Connecticut,2024,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Connecticut,2026,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Delaware,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Delaware,2002,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Delaware,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Delaware,2006,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Delaware,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Delaware,2010,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Delaware,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Delaware,2014,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Delaware,2016,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Delaware,2018,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Delaware,2020,Options to vote early-in person and by mail available to all voters. 
Delaware,2022,Options to vote early-in person and by mail available to all voters. 
Delaware,2024,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Delaware,2026,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
District of Columbia,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
District of Columbia,2002,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
District of Columbia,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
District of Columbia,2006,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
District of Columbia,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
District of Columbia,2010,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
District of Columbia,2012,Options to vote early-in person and by mail available to all voters. 
District of Columbia,2014,Options to vote early-in person and by mail available to all voters. 
District of Columbia,2016,Options to vote early-in person and by mail available to all voters. 
District of Columbia,2018,Options to vote early-in person and by mail available to all voters. 
District of Columbia,2020,Options to vote early-in person and by mail available to all voters. 
District of Columbia,2022,Options to vote early-in person and by mail available to all voters. 
District of Columbia,2024,Options to vote early-in person and by mail available to all voters. 
District of Columbia,2026,Options to vote early-in person and by mail available to all voters. 
Florida,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Florida,2002,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Florida,2004,Options to vote early-in person and by mail available to all voters. 
Florida,2006,Options to vote early-in person and by mail available to all voters. 
Florida,2008,Options to vote early-in person and by mail available to all voters. 
Florida,2010,Options to vote early-in person and by mail available to all voters. 
Florida,2012,Options to vote early-in person and by mail available to all voters. 
Florida,2014,Options to vote early-in person and by mail available to all voters. 
Florida,2016,Options to vote early-in person and by mail available to all voters. 
Florida,2018,Options to vote early-in person and by mail available to all voters. 
Florida,2020,Options to vote early-in person and by mail available to all voters. 
Florida,2022,Options to vote early-in person and by mail available to all voters. 
Florida,2024,Options to vote early-in person and by mail available to all voters. 
Florida,2026,Options to vote early-in person and by mail available to all voters. 
Georgia,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Georgia,2002,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Georgia,2004,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Georgia,2006,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Georgia,2008,Options to vote early-in person and by mail available to all voters. 
Georgia,2010,Options to vote early-in person and by mail available to all voters. 
Georgia,2012,Options to vote early-in person and by mail available to all voters. 
Georgia,2014,Options to vote early-in person and by mail available to all voters. 
Georgia,2016,Options to vote early-in person and by mail available to all voters. 
Georgia,2018,Options to vote early-in person and by mail available to all voters. 
Georgia,2020,Options to vote early-in person and by mail available to all voters. 
Georgia,2022,Options to vote early-in person and by mail available to all voters. 
Georgia,2024,Options to vote early-in person and by mail available to all voters. 
Georgia,2026,Options to vote early-in person and by mail available to all voters. 
Hawaii,2000,Options to vote early-in person and by mail available to all voters. 
Hawaii,2002,Options to vote early-in person and by mail available to all voters. 
Hawaii,2004,Options to vote early-in person and by mail available to all voters. 
Hawaii,2006,Options to vote early-in person and by mail available to all voters. 
Hawaii,2008,Options to vote early-in person and by mail available to all voters. 
Hawaii,2010,Options to vote early-in person and by mail available to all voters. 
Hawaii,2012,Options to vote early-in person and by mail available to all voters. 
Hawaii,2014,Options to vote early-in person and by mail available to all voters. 
Hawaii,2016,Options to vote early-in person and by mail available to all voters. 
Hawaii,2018,Options to vote early-in person and by mail available to all voters. 
Hawaii,2020,Options to vote early-in person and by mail available to all voters. 
Hawaii,2022,Options to vote early-in person and by mail available to all voters. 
Hawaii,2024,Options to vote early-in person and by mail available to all voters. 
Hawaii,2026,Options to vote early-in person and by mail available to all voters. 
Idaho,2000,Options to vote early-in person and by mail available to all voters. 
Idaho,2002,Options to vote early-in person and by mail available to all voters. 
Idaho,2004,Options to vote early-in person and by mail available to all voters. 
Idaho,2006,Options to vote early-in person and by mail available to all voters. 
Idaho,2008,Options to vote early-in person and by mail available to all voters. 
Idaho,2010,Options to vote early-in person and by mail available to all voters. 
Idaho,2012,Options to vote early-in person and by mail available to all voters. 
Idaho,2014,Options to vote early-in person and by mail available to all voters. 
Idaho,2016,Options to vote early-in person and by mail available to all voters. 
Idaho,2018,Options to vote early-in person and by mail available to all voters. 
Idaho,2020,Options to vote early-in person and by mail available to all voters. 
Idaho,2022,Options to vote early-in person and by mail available to all voters. 
Idaho,2024,Options to vote early-in person and by mail available to all voters. 
Idaho,2026,Options to vote early-in person and by mail available to all voters. 
Illinois,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Illinois,2002,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Illinois,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Illinois,2006,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Illinois,2008,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Illinois,2010,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Illinois,2012,Options to vote early-in person and by mail available to all voters. 
Illinois,2014,Options to vote early-in person and by mail available to all voters. 
Illinois,2016,Options to vote early-in person and by mail available to all voters. 
Illinois,2018,Options to vote early-in person and by mail available to all voters. 
Illinois,2020,Options to vote early-in person and by mail available to all voters. 
Illinois,2022,Options to vote early-in person and by mail available to all voters. 
Illinois,2024,Options to vote early-in person and by mail available to all voters. 
Illinois,2026,Options to vote early-in person and by mail available to all voters. 
